"","trimestre","alcance","desocupados","activos","ocupados","edad_activ","desocupados_ampliado","activos_ampliado","desocupacion","participacion","ocupacion","desocupacion_ampliada"
"74",2010-11-01,"Valparaíso",65177.1247836233,848963.18700094,783786.062217317,1408411,182094.822109873,965880.88432719,7.7,60.3,55.7,18.9
"75",2010-12-01,"Valparaíso",71163.4268985637,862349.223890451,791185.796991887,1410237,188786.380206314,979972.1771982,8.3,61.1,56.1,19.3
"76",2011-01-01,"Valparaíso",73114.5722175019,870811.448210993,797696.875993491,1411981,195173.192128142,992870.068121633,8.4,61.7,56.5,19.7
"77",2011-02-01,"Valparaíso",70102.0435312776,879007.376847528,808905.33331625,1413821,185671.610182912,994576.943499162,8,62.2,57.2,18.7
"78",2011-03-01,"Valparaíso",67745.1746104026,872002.578404577,804257.403794174,1415537,185237.655162331,989495.058956505,7.8,61.6,56.8,18.7
"79",2011-04-01,"Valparaíso",64419.4045327164,855248.755794165,790829.351261449,1417377,176371.504655259,967200.855916708,7.5,60.3,55.8,18.2
"80",2011-05-01,"Valparaíso",64546.5601994101,852445.581324125,787899.021124715,1419135,181066.402476196,968965.423600911,7.6,60.1,55.5,18.7
"81",2010-02-01,"O'Higgins",26003.3494005985,416630.832378044,390627.482977446,686297,71674.4307375687,462301.913715014,6.2,60.7,56.9,15.5
"82",2010-03-01,"O'Higgins",24065.8698144845,412940.113734105,388874.24391962,687188,68466.2670978465,457340.511017467,5.8,60.1,56.6,15
"83",2010-04-01,"O'Higgins",20303.1748628572,407460.024043492,387156.849180635,688156,62428.7130316432,449585.562212278,5,59.2,56.3,13.9
"84",2010-05-01,"O'Higgins",20977.7669795955,407397.975087931,386420.208108335,689046,64051.195422122,450471.403530457,5.1,59.1,56.1,14.2
"85",2010-06-01,"O'Higgins",25885.5326367141,404602.404645616,378716.872008902,690039,76081.2494409011,454798.121449803,6.4,58.6,54.9,16.7
"86",2010-07-01,"O'Higgins",30041.7233230788,401417.043323986,371375.320000908,690946,82912.0882657958,454287.408266703,7.5,58.1,53.7,18.3
"87",2010-08-01,"O'Higgins",27742.0737507034,399733.743816459,371991.670065755,691878,78400.5470470984,450392.217112854,6.9,57.8,53.8,17.4
"88",2010-09-01,"O'Higgins",29412.127464966,393831.404587898,364419.277122932,692827,81829.9995804315,446249.276703364,7.5,56.8,52.6,18.3
"89",2010-10-01,"O'Higgins",24005.4500655183,395020.861499967,371015.411434449,693764,74841.2550470703,445856.666481519,6.1,56.9,53.5,16.8
"90",2010-11-01,"O'Higgins",24828.60058271,408615.168637981,383786.568055271,694674,71413.0057998423,455199.573855113,6.1,58.8,55.2,15.7
"91",2010-12-01,"O'Higgins",19590.2997904175,419343.697415839,399753.397625422,695616,58831.9627236891,458585.360349111,4.7,60.3,57.5,12.8
"92",2011-01-01,"O'Higgins",19473.5924413327,421932.443474147,402458.851032815,696571,53422.569348577,455881.420381392,4.6,60.6,57.8,11.7
"93",2011-02-01,"O'Higgins",19724.5967884089,416133.297972743,396408.701184335,697526,62245.878566674,458654.579751009,4.7,59.7,56.8,13.6
"94",2011-03-01,"O'Higgins",19823.1522988717,418028.630572207,398205.478273335,698457,67992.1773613606,466197.655634696,4.7,59.9,57,14.6
"95",2011-04-01,"O'Higgins",24625.5801256077,424269.29822353,399643.718097922,699363,76309.6765690916,475953.394667014,5.8,60.7,57.1,16
"96",2011-05-01,"O'Higgins",24003.7169951403,429082.491414104,405078.774418964,700288,73123.0899866168,478201.86440558,5.6,61.3,57.8,15.3
