"","trimestre","alcance","sexo","desocupados","activos","ocupados","edad_activ","desocupados_ampliado","activos_ampliado","desocupacion","participacion","ocupacion","desocupacion_ampliada"
"239",2010-09-01,"Biobío",1,34084.1092432103,419570.613969063,385486.504725853,597965,78948.7846895587,464435.289415412,8.1,70.2,64.5,17
"240",2010-09-01,"Biobío",2,29657.9766130061,278848.043894367,249190.067281361,638503,113314.203929623,362504.271210984,10.6,43.7,39,31.3
"241",2010-10-01,"Biobío",1,31311.1234683945,414670.250391599,383359.126923204,598527,80208.4868550316,463567.613778236,7.6,69.3,64.1,17.3
"242",2010-10-01,"Biobío",2,29087.1200082939,279945.910271188,250858.790262894,639135,109182.644190693,360041.434453587,10.4,43.8,39.2,30.3
"243",2010-11-01,"Biobío",1,28060.5218164721,412072.467710519,384011.945894047,599072,75691.3338853698,459703.279779417,6.8,68.8,64.1,16.5
"244",2010-11-01,"Biobío",2,26847.0973874847,281248.019182181,254400.921794696,639743,105574.503438427,359975.425233123,9.5,44,39.8,29.3
"245",2010-12-01,"Biobío",1,25280.8840879331,410049.754188742,384768.870100809,599656,72543.5589781111,457312.42907892,6.2,68.4,64.2,15.9
"246",2010-12-01,"Biobío",2,25412.4464703247,286047.007986256,260634.561515931,640391,100907.062569684,361541.624085616,8.9,44.7,40.7,27.9
"247",2011-01-01,"Biobío",1,26683.4218702004,418595.098549994,391911.676679793,600179,69672.5571969211,461584.233876714,6.4,69.7,65.3,15.1
"248",2011-01-01,"Biobío",2,28032.9518307079,290065.268626423,262032.316795715,641030,106469.790313232,368502.107108947,9.7,45.2,40.9,28.9
"249",2011-02-01,"Biobío",1,30066.3071565113,423935.708778694,393869.401622183,600761,70624.3471333854,464493.748755568,7.1,70.6,65.6,15.2
"250",2011-02-01,"Biobío",2,30159.9514796843,289341.113866109,259181.162386425,641652,113970.156456273,373151.318842697,10.4,45.1,40.4,30.5
"251",2011-03-01,"Biobío",1,29796.6001329814,425434.835203083,395638.235070102,601323,65381.7484532394,461019.983523341,7,70.7,65.8,14.2
"252",2011-03-01,"Biobío",2,31133.8475274014,285248.514400757,254114.666873355,642264,107386.296989111,361500.963862466,10.9,44.4,39.6,29.7
"253",2011-04-01,"Biobío",1,28527.4086047025,419144.821619284,390617.413014582,601840,62958.3658355796,453575.778850161,6.8,69.6,64.9,13.9
"254",2011-04-01,"Biobío",2,28125.4643377639,281425.256712858,253299.792375094,642935,102283.687497119,355583.479872212,10,43.8,39.4,28.8
"255",2011-05-01,"Biobío",1,27962.2981533842,418286.968434588,390324.670281204,602389,63639.2193740513,453963.889655255,6.7,69.4,64.8,14
"256",2011-05-01,"Biobío",2,28617.6781821299,283747.855198099,255130.17701597,643558,93943.0219921558,349073.199008125,10.1,44.1,39.6,26.9
"257",2010-02-01,"La Araucanía",1,18578.0859571927,265523.482413382,246945.39645619,357557,47212.2877053675,294157.684161557,7,74.3,69.1,16
"258",2010-02-01,"La Araucanía",2,19129.2296016703,168735.433461842,149606.203860172,378280,74196.9275293871,223803.131389559,11.3,44.6,39.5,33.2
"259",2010-03-01,"La Araucanía",1,17688.5719342197,263534.604483805,245846.032549585,357917,43595.6286147771,289441.661164362,6.7,73.6,68.7,15.1
